Location,Description,Bedrooms,Bathrooms,Living Rooms,Kitchen,Price,Water,Electricity,Garden,Pool
"Lavington, Nairobi, Kenya","You will instantly love being part of this luxurious and urban development. It is tucked in the heart of Lavington, Just behind junction mall along Kingara road.

The project covers an area of 1.075 acres, building a total construction area of 27670 square meters. It is a modern designed development Composed of A,B,C,D,E five buildings. Each block equipped with 2 high-speed elevators.

The construction height of the layer is 2.95 meters. Basement layers to be the parking ...read more",3,,1,?,"ksh 12,500,000",✅,✅,NO Garden,✅ Swimming Pool
"Riruta, Nairobi, Kenya","These apartments are located along Naivasha Road between Lavington & Kilimani Suburbs enjoying a serene valley view of the IILRI Hills and amazing connectivity to Waiyaki Way within few minutes.Our show house is ready.
 
Spacious apartments with spectacular valley view & high quality finishes, spacious lounge and bedrooms, & a modern kitchen with 2 and 3 plush en-suite Bedrooms. High glazed vitrified tiles, modern kitchen, latest sanitary fittings, wardrobes in all the bedr...read more",3,2,1,?,"ksh 8,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Glorious characterful home set on 4.5 acres set in a quiet and peaceful part of Karen. The main house comprises 4 bedrooms with a huge verandah overlooking the mature garden replete stunning mature trees. The guesthouse is self contained and has 2 bedrooms, kitchen and living room with fireplace. The property is conveniently situated whether it’s for shopping at The Hub, dining at Talisman Restaurant or commuting to Westlands via the Southern Bypass.

From the formal rece...read more",6,5,1,?,"ksh 324,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","These villas are located in the heart of Karen in the exclusive Miotoni area. It is a premier development of 10 contemporary and luxury homes, designed to perfection with an appreciation of the natural environment. Each villa set on 0.5 acres of mature garden.

The first floor features 3 spacious en-suite bedrooms and an expansive en-suite master bedroom which opens onto a large balcony. Lavishly each house also features an entertainment wing adjacent to the pool which is c...read more",5,7,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Utawala Crescent Court, Nairobi, Kenya","Evergreen Valley, spacious apartments and maisonettes in Utawala, offers a great family environment and value for money.

The development utilizes technology to offer environmentally conscious additional features such as water recycling plant and solar water heating in all units, hence reducing costs for its residents

With three different house sizes to choose from, Evergreen Valley has something to offer for everyone.

Ready for occupation.

Key Features

Perimete...read more",2,2,1,?,"ksh 3,900,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Description
Amara Ridge is a breathtaking, distinct and luxurious innovation landmark at the heart of Karen in Nairobi featuring a Classic design – with timeless architecture, grand arrival, elegant arches and sumptuous space to cater for every family need while ensuring a signature lifestyle. The Contemporary design offers a modern feel with a sleek canopy at the entrance. It provides sumptuous space for a distinctive signature lifestyle.

Size & Type:
Luxurious 5 Bed ...read more",5,5,1,?,"ksh 160,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Mombasa Road, Nairobi, Kenya","The development laying on 25 acres is this stylish 2 bedroom apartments in 4, 5 and 6 storey buildings. 

Efficiently designed, these units are accessed through a covered entrance porch opening to a step-down lounge with fireplace, separate dining with breakfast bar, open-plan kitchen with service area and a ground floor guest bedroom.

They feature:

Lush gardens
Shopping mall
Ample parking
Landscaped gardens
Club house,
Educational facilities
Bus park
Water fea...read more",2,2,1,?,"ksh 5,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Lavington, Nairobi, Kenya","Crafting the modern lifestyle, bringing together quality and aesthetic fundamentals through innovative living in the heart of Nairobi. GRAND PREMIER apartments are a new concept in urban living with world standard finishing and style, making this an unmatched value proposition in Nairobi.

Grand Premier is a development of 1,2 and 3 bedroom apartments for sale on Argwings Kodhek Road in Lavington.  The two tower development features a total of 130 units in the gated communi...read more",3,3,1,?,"ksh 9,500,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Fantasia Home covering five acres has ten high-end villas which are located in Elijah Wambugu close off Karen. It enjoys close proximity to shopping malls like the Hub, international hospitals and schools. Each unit sits on approximately half an acre with a beautiful well manicured garden. The property comprises of 5 bedroom townhouses all en suite with self contained Dsq.

Fantasia Home is your signature style
Clean . Classic . Comfort . Special . Modern

Unit features...read more",5,6,1,?,"ksh 70,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Luxury gated living of only 6 Villas in the sought after area of Karen under construction ( Show House Ready). 5 Bedroom all en suite spread over two floors has the following features;
– Each villa sits on half acre plot
– Magnificent double volume ceiling lounge with a fire place. The lounge opens up to the veranda with easy access to lush garden area.
– Custom made island Kitchen comes with fitted appliances such as a cooker, oven and extractor Fan. It also has a b...read more",5,5,1,?,"ksh 85,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Runda, Nairobi, Kenya","Located in the much sought after Runda Estate, this house benefits from the serenity of the neighborhood as well as its location close to a number of facilities and amenities. These combined features make the house best suited for either a family residence or as an investment. This is a modern double storey house boasting of ample living space and a mature garden. Accommodation is spread over 2 levels. The lower level features an entry hallway, a lounge with fireplace opening...read more",5,9,1,?,"ksh 150,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Riruta, Nairobi, Kenya","These apartments are located along Naivasha Road between Lavington & Kilimani Suburbs enjoying a serene valley view of the IILRI Hills and amazing connectivity to Waiyaki Way within few minutes.Our show house is ready.
 
Spacious apartments with spectacular valley view & high quality finishes, spacious lounge and bedrooms, & a modern kitchen with 2 and 3 plush en-suite Bedrooms. High glazed vitrified tiles, modern kitchen, latest sanitary fittings, wardrobes in all the bedr...read more",3,2,1,?,"ksh 8,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Gikambura, Kenya","#FORSALE #KIKUYU GIKAMBURA 
4 BEDROOMS BUNGALOW LOCATION # KIKUYU GIKAMBURA sitting on an 1/8 Acre piece of land.
@7.8M ONLY slightly negotiable

¶ artistic,attraction , affordability and accessibility is what we are selling to you .
? own THIS BUNGALOW and have a place to call home in Kikuyu outskirt in leafy and serene area
80% completion 
FEATURES
? 4bedrooms all ensuit ? wooden flooring ? ?cabro pavement
?dining customised
? artistic design 
? social amenities...read more",4,3,1,?,"ksh 7,800,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Located in a tranquil environment near to the Nairobi National Park, is this beautiful property on 3.2 acres.

This beautiful, double storeyed colonial house of some 410 square meters has both tiled and wooden floors, 4 spacious bedrooms of which two are ensuite, a single bedroom and a family bathroom.

As you enter the house the view from the entrance hallway is through the large living room to the lush greenery of the garden set with mature trees, a swimming pool and a ...read more",5,5,1,?,"ksh 150,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Kinoo, Kikuyu, Kenya",Welcome to a development that the quality assured and expected is what is delivered. A project that aims to meet a need for housing yet understanding the fact that it also has to be a worthy investment able to generate income. This Project is been done by leading Scandinavian developers From Denmark under Kenya Property Holdings Aps in conjunction with the Danish Government Organization IFU . The Apartments consist of 2 & 3 bedroom all En-suite Apartment located in the outski...read more,3,2,1,?,"ksh 9,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Located off Karen Ridge Road is this modern and spacious 4 bedroom family home. The plot is half an acre is size and is owned on a residential 900+ year leasehold title.

Metal entrance gates provide access into a sweeping Cabro driveway with ample parking spaces. One enters into the house and immediately into a gorgeous split level open plan living room with fireplace. A couple of steps takes you to the dining area with double doors which leads out onto a generous covered ...read more",4,5,1,?,"ksh 60,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Located in a serene environment near to the Primate Research Centre, this is a beautiful plot on 1.6 acres.

The property consists of two houses. The top colonial style brick house designed and built by Willie Atkins sits on 0.6 acres and is entered through the outside covered verandah with fireplace. It has two floor to ceiling wooden doors that open onto a sitting room with a fireplace come dining area, and with a kitchen and laundry area to the back. Taking the wooden st...read more",4,3,1,?,"ksh 210,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Waiyaki Way, Nairobi, Kenya","Located on Muthangari drive opposite the Safaricom house, this newly built modern 2 bedrooms apartment has all rooms well lit and spacious enough.
All en suite.
High speed lifts.
24 hr security surveillance. read more",2,2,1,?,"ksh 16,000,000",✅,✅,NO Garden,NO Swimming Pool
"Karen, Nairobi, Kenya","ituated in the prime neighbourhood of Mwitu Estate, the property benefits from its serene and secure location. With a frontage to Mwitu Road and a frontage to Mbagathi River the property is easily accessed and idyllic.

This is a 3 bedroom single storey house set on 6.2 acres of mature garden.

The main house features an entrance lobby, visitor's cloakroom a study and a lounge with 2 fireplaces which opens onto the verandah and garden. The house also comprises a dining ro...read more",3,3,1,?,"ksh 200,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Located in the most tranquil area of Karen, this is an impressive and artistic 5-bedroom house with the highest standard of finishing, beautiful wooden floors throughout and its own beautiful mature garden with a private swimming pool.

The unique flat-roofed, double storied five-bedroomed family home is lovingly designed in the art deco style and situated on 1.2 acres of mature gardens. On the ground floor, the house features a spacious ‘D-ended’ living room with Frenc...read more",5,5,1,?,"ksh 110,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Runda, Nairobi, Kenya","Welcome to this spacious and beautiful, well maintained five bedroom townhouse located in Runda along Camphor Road.

This home offers luxurious living in the leafy Runda suburb that oozes elegance and class.

Ground floor:

Has a spacious sunken living room with a fireplace, a separate dining area, wooden flooring, with its huge windows giving you natural lighting.

Within the living room 2 doors opening up to the patio that over looks the well manicured garden that h...read more",5,5,1,?,"ksh 100,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Lavington, Nairobi, Kenya","You will instantly love being part of this luxurious and urban development. It is tucked in the heart of Lavington, Just behind junction mall along Kingara road.

The project covers an area of 1.075 acres, building a total construction area of 27670 square meters. It is a modern designed development Composed of A,B,C,D,E five buildings. Each block equipped with 2 high-speed elevators.

The construction height of the layer is 2.95 meters. Basement layers to be the parking ...read more",3,,1,?,"ksh 12,500,000",✅,✅,NO Garden,✅ Swimming Pool
"Brookside Drive, Westlands, Nairobi","In a prime area of Brookside this house is in a compound of 14units, with its built up area of approximately 3000sqft.

This 2 level house features:

Ground floor:

A large kitchen
Dhobi area
Pantry
Guest bedroom
Common bathroom
2nd floor:

3 spacious bedrooms all en-suite
Extras:

1dsq
10,000liters of water storage
Ample guest parking
3 parking slots
Pets allowed
Price: KES 30 Million Negotiable

Service charge of approximately KES 10,000read more",4,4,1,?,"ksh 30,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kileleshwa, Nairobi, Kenya","Diamond Homes comprises of brand new modern studios, 2 & 3 bedroom apartments suited for your urban lifestyle. It is ideally located in the heart of Kileleshwa, a vibrant neighbourhood mixed with electric restaurants, shopping centres including Yaya, Junction, Valley Arcade and Lavington Malls, QuickMart, all close - on making it more convenient than ever to where you want to be.

Three bedrooms (Type A - 1 & 2)
a) Three bedrooms with two balconies
b) Space: 120 sqm
c) L...read more",studio,1,0,?,"ksh 3,600,000",✅,✅,NO Garden,NO Swimming Pool
"Westlands, Nairobi, Kenya","Upcoming construction featuring luxury three-story designs, this property offers elegant open concept single-family homes conveniently located along Peponi Road in the Kitisuru neighborhood overlooking the lush Karura Forest. Each home consists of 3 levels of beautifully designed spaces to maximize the utilization of every square foot within and outside your house. Every item which goes into building this dream home is hand-picked by the developers to ooze class and make you ...read more",5,6,1,?,"ksh 85,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","This is an impressive Ambassadorial home of 7,400 sq. ft. and is arranged over three floors with six bedrooms all with en-suite bathrooms. The property boasts beautiful natural wood flooring throughout and exceptional contemporary finishes in the kitchen and bathrooms. There is an elegance and modernity to the design with an abundance of flexible open plan space. A fabulous home to entertain guests and to enjoy day to day.

The property sits on an acre of mature gardens and...read more",7,8,1,?,"ksh 160,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Westlands, Nairobi, Kenya","The apartments are built for those who are relentless in their quest for perfection and built with eco-friendly and non-polluting materials.

 

Located at the heart of Nairobi’s prime commercial area, Westlands. Residents have easy access to shopping malls, 5 star hotels and restaurants within a 1 km radius. Due to the height, the apartments offer outstanding views across Nairobi, the Aberdares and Mt. Kenya

Roof top of amenities

Resident lawn and party area
Bar...read more",2,,1,?,"ksh 16,500,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Kileleshwa, Nairobi, Kenya","Lion's Lair - Kileleshwa

A luxurious and elegant 5br penthouse, 3 en suite located in a serene area of kileleshwa with good access roads and internet connectivity. Easy access to top schools and hospitals plus shopping malls. The penthouse has a gorgeous and well lit lounge separate from the dining. The lounge has a wide wooden stairs leading to the upper floor. The kitchen is spacious with plenty of cabinets. Work tops are finished with granito tiles with a double sink. T...read more",5,5,2,?,"ksh 35,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Roysambu, Nairobi, Kenya","This is a lovely home tucked in a serene area in Ridgeways.The quietness in this neighborhood is striking.
What a bargain

Features
Adequate water
Spacious house
Perimeter Security Fence...
Visitor Bathroom
All bedrooms have in-build wardrobes
Ample parking
The local and supportive police force is situated at the nearby.
master bedrooms
Spacious lounge
Modern spacious kitchen fully fitted with high end fitting
Laundry area
Shopping malls.
Modern shopping malls...read more",5,5,1,?,"ksh 90,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","A double storey building , is a well control community of spacious well appointed 4bedroom Double storey house. The house is sitting on 0.5acre plot Red soil.With close proximity to karen Hub and karen shopping center on Ololua ridge in Karen about 2.65kms from Ngong road (Kephis stage) or 1 km from Kephis HQ. A house  boasts a specious lounge with afire place showcasing an airy well turkey designed space that opens out the manicured gardens . The house has a fully –open pl...read more",4,4,1,?,"ksh 70,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","These villas are located in the heart of Karen in the exclusive Miotoni area. It is a premier development of 10 contemporary and luxury homes, designed to perfection with an appreciation of the natural environment. Each villa set on 0.5 acres of mature garden.

The first floor features 3 spacious en-suite bedrooms and an expansive en-suite master bedroom which opens onto a large balcony. Lavishly each house also features an entertainment wing adjacent to the pool which is c...read more",5,7,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Situated in the prime neighbourhood of Windy Ridge, the property benefits from its serene and secure location. Accessed from Windy Ridge at the top of the property, the first acre of this beautiful 5 acre property features a colonial 5 bedroom single storey house and self-contained staff quarters for 3 with a kitchenette and bathroom.
The house and it’s verandah overlooks the rest of the four acres of a very beautiful mature garden.

Amenities include a surrounding hedge...read more",5,5,1,?,"ksh 262,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Lavington, Nairobi, Kenya","Luxury and comfort is redefined at these 5 bedroom all en suite Townhouses with DSQ ideally located at the serene and prestigious area of Lavington. Wonderful details and impressive craftsmanship can be found throughout the Villas which boasts of sunken Lounge, yard, porch, guest room, open plan kitchen, dining room, DSQ, laundry area, and Pantry on the Ground floor. The first floor features 2 bedrooms all en-suite, balcony, lounge view coming down the stairs while the second...read more",5,7,1,?,"ksh 55,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Muthaiga, Nairobi, Kenya","A magnificent 6br all en suite with a family room , study/office and dsq for 3 ambassadorial house located in muthaiga off thigiri ridge road. The house is build on half acre piece of land with a plinth area of 11,000 square feet. 

Muthaiga estate is a place for the affluent in Nairobi. It's a home to 3/4 of the country's 450 billionaires. The estate is well served with roads, water , electricity and internet communication. It enjoys the highest security services . Village...read more",6,6,1,?,"ksh 200,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Thika, Salama , garissa road","It’s a 3 bedroom house in Thika along the Garissa super highway . With 2 living room , 3 bedrooms (master bedroom is ensuite ) . Outside living lounge with a gazebo and barbecue corner . read more",3,2,2,?,"ksh 8,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kileleshwa, Nairobi, Kenya","This development is located in Kileleshwa area, off Othaya road on Kikambala Road.

Its an apartment complex of luxurious condominiums that are the best fit for modern young families and investors alike.

Yaya Centre, Westlands, schools, malls, hospitals and other conveniences are moments away.

This development features 1 and 2 bedroom apartments on 11 levels, thus a total of 77 units in the community.

Some of the amenities include:

A roof-deck – with barbeque ...read more",2,2,1,?,"ksh 7,600,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","This spacious and eclectic style family home of 5 bedrooms is located on Mbagathi Ridge, the premier address in Karen in Nairobi’s leafy suburbs. The gently sloping 3 acre plot boasts numerous mature trees, a swimming pool, and a yoga pagoda. The property is set within a private and exclusive development of 5 unique and independent residences all accessed from a central entrance gate which is manned day and night by the resident’s security team.

The property has Swahil...read more",5,3,1,?,"ksh 265,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Mombasa Road, Nairobi, Kenya","This is a dream house close to the main road but yet peaceful and quite, situated along Mombasa road and 5 Kms from Jomo Kenyatta International Airport. 360 Court Apartments Phase 1 is located in Syokimau area, off Mombasa road. Syokimau is the fastest growing residential area and the latest suburb of Nairobi Metropolitan city following decongesting the city of Nairobi campaign.

The development has been planted with a passion of providing high quality development utilizing...read more",2,2,1,?,"ksh 4,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Conveniently located off Warai Road in the Miotoni area of Karen is this superb double storey family home of 5,000 sq. ft. The property has 5 bedrooms and sits on half an acre with a vacant half acre plot with lovely mature and indigenous trees. Ideal plot for those looking to build a 2nd property either as a guesthouse or a house for sale. The beauty of this location is the ease with which one can access The Hub, Talisman Restaurant and the Southern Bypass. For all those com...read more",5,5,1,?,"ksh 95,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Runda, Nairobi, Kenya","Set in a secure and upmarket suburb of Runda is this tastefully renovated 5 bedroom house which sits on half an acre of well-maintained gardens with mature trees along Runda Drive.

One of the exclusive and unique creations of award-winning designers Studio A-Z, this house has been meticulously thought out and curated with bespoke designs, having themselves sourced finishes from around the world

Lower Level:

There’s a beautiful foyer from the main door leading strai...read more",5,5,1,?,"ksh 130,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","This development entails 2 ultra luxurious modern spacious residences. The location is very much ideal for upscale living with “Gated community” targeting the discerning upper echelons of the business and professional community.

Karen area is perfect as it remains as one of the few Nairobi Residential Areas that is still strictly adhering to planning by laws. For those looking for a new apartment with excellent facilities and not keen on the open the plan kitchen, we h...read more",4,3,1,?,"ksh 70,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Runda, Nairobi, Kenya","Reduced Price!!
4 bedroom house (all en-suite) with a servant’s quarter in Runda. Key features include;
– A gated community of 16 similar houses
– Well manicured garden
– Sunken living room
– Huge kitchen with modern cabinetry
– Master bedroom has a walk-in closet, bathtub, shower cubicle, and balcony
– BBQ area.
– Swimming Pool
Sale: 120Mread more",4,4,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Westlands, Nairobi, Kenya","Right at the edge of Parklands and Westlands lies this spacious and well-maintained three-bedroom apartment unit in one of the most sought out compounds. It’s one of 68 units built on a serene, 4-acre piece of land that’s surrounded by lovely manicured gardens to give you that peaceful feeling after a hard day’s work.

The compound also features fantastic amenities such as a children’s play area, a walking track covering the whole area, a club house that contains a ...read more",3,2,1,?,"ksh 35,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Baobab Close, Runda, Nairobi","A beautiful driveway leads to the main house. The main entrance features a well maintained garden, veranda, and reinforced wooden door.

The ground level features A sunken living room with wooden flooring overlooking the expansive garden, separate dining room. There’s also a guest cloakroom on this level as well as an en-suite guest bedroom, spacious kitchen with so much natural lighting, spacious pantry section.

Outside:

2 dsqs (self contained) separate entrance
U...read more",6,7,1,?,"ksh 75,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Runda, Nairobi, Kenya","Located in Runda, this charming well maintained 5 bedroom all en suite house is a mix of a modern and traditional design sitting on ½ an Acre. A 100 meter private driveway leads you to the main gate, cabro paved parking area with a beautiful water feature set on natural rocks. The entrance leads you to an atrium, sunken lounge with a fireplace, floor to ceiling windows that allow for natural lighting and opens out to a manicured mature garden. The designer tiled spacious ope...read more",5,5,1,?,"ksh 125,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Located in a tranquil neighbourhood in Karen, this villa is private, safe and secure - ideal for a family residence

This 4 bedroom all ensuite house is set within a compound if 7 and boasts ample living space and a large manicured garden.

The house has its own private gate and accommodation is spread over 2 floors. The ground floor comprises a kitchen with a pantry, a covered laundry area, a separate dining room, a lounge with a fireplace opening onto a covered terrace,...read more",4,4,1,?,"ksh 85,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Riruta, Nairobi, Kenya","Ready for occupation and an excellent investment.

PamPam Apartments are residential flats located in the cool and serene environments of Riruta, 50m off kikuyu rd. They are accessible via a fully serviced all weather road. The apartments are conveniently located

10 minutes from the junction shopping center and 15 minutes from both Westlands and Karen shopping centers. University of Nairobi Kikuyu campus is

5 minutes¹ drive up road.

The development comprises of 57...read more",2,2,1,?,"ksh 4,000,000",✅,✅,NO Garden,NO Swimming Pool
"Runda, Nairobi, Kenya","This magnificent house is located at the heart of Runda , Mimosa.

This is a tranquil and leafy suburb located close to a number of social amenities.

The 5 bedroom house boasts of:

Manicured garden
Perimeter wall with electric fence
Cabro paved parking and drive way
Garage for 2 cars  
The ground floor consists of a kitchen with pantry, laundry and a sunken dining area, sunken lounge with a huge balcony and a fire place.

It also has an ensuite bedroom complete ...read more",5,6,1,?,"ksh 70,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Deerpark is located in the heart of Karen in the exclusive Miotoni area. It is a premier development of 10 contemporary and luxury homes, designed to perfection with an appreciation of the natural environment.

Deerpark Karen is an innovative new development which surpasses the expectations of conventional gated compounds. Through progressive architecture, intuitive design and meticulous construction Deerpark Karen has succeeded in re-defining luxury living in a sublime loc...read more",5,5,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Komarock, Nairobi, Kenya","Komarock Heights is a modern development with all the amenities to support the comfort and lifestyle of its residents. Comprising 1272 beautifully designed apartments nestled within Komarock Estate, the development will be implemented in 3 phases. Phase 1 comprises 480 residential apartments with a mix of 2 and 3 bed-roomed apartments in 20 blocks. The mall will provide residents convenient access to supermarkets, banks, restaurants, hospitals and other services.

 

Key ...read more",3,2,1,?,"ksh 6,800,000",✅,✅,✅ A Garden ,NO Swimming Pool
